,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
209,47-50 Sts - Rockefeller Ctr,4,D15,B,40.758663,-73.981329,D15_B
210,47-50 Sts - Rockefeller Ctr,4,D15,D,40.758663,-73.981329,D15_D
211,47-50 Sts - Rockefeller Ctr,4,D15,F,40.758663,-73.981329,D15_F
212,47-50 Sts - Rockefeller Ctr,4,D15,M,40.758663,-73.981329,D15_M
213,49 St,4,R15,N,40.759901,-73.984139,R15_N
214,49 St,4,R15,Q,40.759901,-73.984139,R15_Q
215,49 St,4,R15,R,40.759901,-73.984139,R15_R
216,49 St,4,R15,W,40.759901,-73.984139,R15_W
217,5 Av,1,724,7,40.753821,-73.981963,724_7
218,5 Av/53 St,2,F12,E,40.760167,-73.975224,F12_E
219,5 Av/53 St,2,F12,M,40.760167,-73.975224,F12_M
220,5 Av/59 St,3,R13,N,40.764811,-73.973347,R13_N
221,5 Av/59 St,3,R13,R,40.764811,-73.973347,R13_R
222,5 Av/59 St,3,R13,W,40.764811,-73.973347,R13_W
223,50 St,7,126,1,40.761728,-73.983849,126_1
224,50 St,7,126,2,40.761728,-73.983849,126_2
225,50 St,7,126,5,40.761728,-73.983849,126_5
226,50 St,7,A25,A,40.762456,-73.985984,A25_A
227,50 St,7,A25,C,40.762456,-73.985984,A25_C
228,50 St,7,B14,D,40.63626,-73.994791,B14_D
229,50 St,7,A25,E,40.762456,-73.985984,A25_E
230,51 St,2,630,4,40.757107,-73.97192,630_4
231,51 St,2,630,6,40.757107,-73.97192,630_6
232,52 St,1,713,7,40.744149,-73.912549,713_7
233,53 St,2,R40,N,40.645069,-74.014034,R40_N
234,53 St,2,R40,R,40.645069,-74.014034,R40_R
235,55 St,1,B15,D,40.631435,-73.995476,B15_D
236,57 St,1,B10,F,40.763972,-73.97745,B10_F
237,57 St - 7 Av,4,R14,N,40.764664,-73.980658,R14_N
238,57 St - 7 Av,4,R14,Q,40.764664,-73.980658,R14_Q
239,57 St - 7 Av,4,R14,R,40.764664,-73.980658,R14_R
240,57 St - 7 Av,4,R14,W,40.764664,-73.980658,R14_W
241,59 St,6,629,2,40.762526,-73.967967,629_2
242,59 St,6,629,4,40.762526,-73.967967,629_4
243,59 St,6,629,5,40.762526,-73.967967,629_5
244,59 St,6,629,6,40.762526,-73.967967,629_6
245,59 St,6,R41,N,40.641362,-74.017881,R41_N
246,59 St,6,R41,R,40.641362,-74.017881,R41_R
247,59 St - Columbus Circle,7,125,1,40.768247,-73.981929,125_1
248,59 St - Columbus Circle,7,125,2,40.768247,-73.981929,125_2
249,59 St - Columbus Circle,7,125,5,40.768247,-73.981929,125_5
250,59 St - Columbus Circle,7,A24,A,40.768296,-73.981736,A24_A
251,59 St - Columbus Circle,7,A24,B,40.768296,-73.981736,A24_B
252,59 St - Columbus Circle,7,A24,C,40.768296,-73.981736,A24_C
253,59 St - Columbus Circle,7,A24,D,40.768296,-73.981736,A24_D
254,6 Av,1,L02,L,40.737335,-73.996786,L02_L
255,62 St,1,B16,D,40.626472,-73.996895,B16_D
